category,sleeveType,premium,costPrice,price
cropped,Manga curta,no,19,25
calça jeans mom,unknown,no,30,50
vestido jeans colado curto,Manga longa,yes,28,37
saia,unknown,no,18,30
calça jeans mom,unknown,yes,20,48
calça jeans wide leg,unknown,yes,22,50
vestido colado medio,Manga 3/4,no,29,34
vestido colado medio,Manga longa,no,16,21
saia,unknown,no,39,41
vestido jeans colado curto,regata,no,31,35
leggings,unknown,no,20,30
vestido colado longo,Manga longa,no,27,43
short,unknown,yes,32,38
short jeans,unknown,no,37,42
saia,unknown,yes,32,39
calça wide leg,unknown,yes,30,39
calça jeans,unknown,no,36,50
calça,unknown,no,39,41
cardigan,Manga longa,no,33,40
vestido solto longo,Manga 3/4,no,25,40
vestido jeans colado curto,Manga longa,no,37,38
short,unknown,no,47,48
jaqueta,Manga longa,no,26,40
t-shirt,unknown,no,33,34
calça jeans,unknown,no,46,48
vestido jeans solto medio,Uma manga só,no,21,27
macaquinho,Manga curta,yes,27,42
calça jeans aladin,unknown,no,15,45
vestido jeans colado curto,Uma manga só,no,38,40
cropped,Manga curta,no,20,25
vestido solto longo,Uma manga só,no,32,46
macacao longo,Manga longa,no,15,35
vestido solto longo,Manga longa,no,39,49
calça wide leg,unknown,no,25,35
short,unknown,yes,33,40
short jeans,unknown,no,27,37
vestido solto longo,regata,yes,18,38
vestido colado medio,regata,yes,24,34
sueter,Manga longa,no,40,42
blusa,Manga 3/4,no,24,27
vestido solto longo,Uma manga só,yes,40,50
vestido solto curto,Manga curta,no,36,38
vestido colado longo,Manga longa,no,16,31
short,unknown,no,18,30
cardigan,Manga longa,yes,25,39
vestido jeans colado medio,Manga 3/4,no,40,41
saia,unknown,yes,40,47
calça aladin,unknown,no,36,39
vestido solto curto,Manga longa,no,24,30
blusa,Manga curta,yes,14,23
saia jeans,unknown,no,15,30
vestido jeans solto longo,Uma manga só,yes,36,50
short jeans,unknown,yes,23,38
macaquinho,Manga longa,no,35,40
calça,unknown,yes,17,35
macacao longo,Manga 3/4,no,32,42
calça,unknown,no,22,32
saia jeans,unknown,yes,35,44
vestido jeans colado curto,Manga 3/4,no,29,34
short,unknown,no,26,32
short jeans,unknown,no,39,44
vestido jeans colado medio,Manga curta,no,17,22
blazer,Manga longa,yes,20,40
vestido jeans solto longo,regata,no,34,46
macacao longo,Manga 3/4,no,49,50
vestido jeans solto medio,Manga longa,no,35,37
calça,unknown,no,23,33
vestido solto medio,Manga longa,yes,19,28
vestido jeans colado curto,Manga curta,yes,31,40
vestido colado curto,Manga 3/4,no,38,40
calça wide leg,unknown,yes,35,41
vestido colado longo,Manga 3/4,yes,31,50
calça jeans skinny,unknown,no,41,50
cardigan,Manga longa,no,22,35
vestido colado longo,Manga curta,yes,26,45
calça mom,unknown,no,35,38
vestido jeans colado curto,Manga curta,yes,17,26
saia,unknown,yes,38,45
blazer,Manga longa,yes,21,41
vestido jeans solto medio,Uma manga só,no,21,27
cardigan,Manga longa,no,39,42
short jeans,unknown,no,21,31
vestido jeans colado medio,Uma manga só,yes,35,41
calça jeans,unknown,yes,15,49
short jeans,unknown,no,27,37
macacao longo,regata,no,31,41
vestido solto longo,Manga 3/4,no,39,49
short,unknown,yes,29,35
vestido jeans colado curto,Uma manga só,no,20,24
macacao longo,regata,yes,25,45
vestido jeans colado curto,Manga longa,no,23,28
blusa,regata,yes,31,35
short jeans,unknown,no,33,40
calça mom,unknown,no,44,45
macaquinho,Manga 3/4,no,37,41
short jeans,unknown,no,39,43
calça skinny,unknown,yes,31,40
sueter,Manga longa,yes,37,46
vestido jeans solto longo,Manga curta,no,16,31
blazer,Manga longa,no,26,40
short jeans,unknown,no,26,36
sueter,Manga longa,no,20,34
vestido jeans colado medio,Uma manga só,no,34,37
cardigan,Manga longa,yes,24,39
blusa,regata,no,19,24
macaquinho,Manga longa,no,20,35
saia jeans,unknown,no,20,30
calça jeans skinny,unknown,no,32,50
jaqueta,Manga longa,no,32,42
vestido jeans solto curto,Uma manga só,no,30,34
vestido jeans solto curto,regata,no,21,26
cropped,Manga curta,yes,15,23
macaquinho,Uma manga só,yes,34,45
calça mom,unknown,no,25,35
calça jeans,unknown,no,41,49
cardigan,Manga longa,yes,20,40
jaqueta,Manga longa,no,23,38
calça wide leg,unknown,no,29,35
vestido solto longo,Manga 3/4,no,38,49
vestido jeans solto curto,regata,no,22,27
blusa,Uma manga só,no,28,29
macacao longo,Manga longa,no,34,44
short jeans,unknown,yes,18,35
calça jeans mom,unknown,no,22,45
vestido jeans colado medio,Manga longa,no,19,24
sueter,Manga longa,yes,33,43
vestido jeans solto medio,Manga longa,no,38,40
saia jeans,unknown,no,21,31
jaqueta,Manga longa,no,32,42
cardigan,Manga longa,no,20,35
vestido jeans solto longo,Uma manga só,no,31,46
calça jeans skinny,unknown,no,16,45
vestido colado medio,Manga 3/4,no,30,35
vestido jeans solto medio,Manga curta,no,48,49
short jeans,unknown,no,24,34
calça jeans wide leg,unknown,no,17,45
macaquinho,regata,no,39,42
calça jeans mom,unknown,yes,37,50
cardigan,Manga longa,no,19,34
macacao longo,Manga longa,no,37,47
sueter,Manga longa,no,25,35
calça jeans mom,unknown,no,31,50
vestido jeans solto curto,Manga 3/4,no,31,36
calça jeans aladin,unknown,no,43,50
vestido solto medio,Manga longa,no,32,36
calça jeans aladin,unknown,yes,29,50
jaqueta,Manga longa,no,19,34
vestido jeans solto medio,Manga 3/4,yes,32,41
blusa,Uma manga só,no,16,21
saia jeans,unknown,no,38,43
saia jeans,unknown,no,33,39
calça jeans wide leg,unknown,no,15,45
cropped,regata,yes,17,25
leggings,unknown,yes,27,38
vestido jeans colado curto,Manga 3/4,no,17,23
vestido solto curto,Uma manga só,no,20,25
blusa,Uma manga só,no,28,30
sueter,Manga longa,no,17,32
vestido jeans solto medio,Manga 3/4,no,33,36
vestido solto longo,Manga curta,yes,21,38
sueter,Manga longa,yes,35,43
saia,unknown,yes,37,43
leggings,unknown,no,28,36
calça,unknown,no,36,39
short jeans,unknown,no,38,43
macaquinho,Manga longa,no,30,40
cardigan,Manga longa,no,26,35
cardigan,Manga longa,no,17,32
blazer,Manga longa,yes,32,46
calça jeans,unknown,yes,32,50
vestido jeans solto longo,regata,yes,18,38
t-shirt,unknown,no,33,34
saia,unknown,no,37,40
saia jeans,unknown,no,28,38
calça skinny,unknown,no,32,36
blusa,Uma manga só,no,16,21
jaqueta,Manga longa,no,35,45
blusa,Manga longa,no,21,25
vestido solto longo,Manga 3/4,yes,31,48
calça aladin,unknown,yes,24,36
vestido jeans colado medio,Manga longa,no,39,40
short jeans,unknown,no,31,40
vestido jeans colado medio,Uma manga só,no,30,35
short jeans,unknown,yes,34,45
vestido jeans colado curto,Manga 3/4,no,25,30
t-shirt,unknown,yes,25,31
saia jeans,unknown,no,16,30
calça jeans skinny,unknown,no,41,50
vestido jeans colado medio,regata,no,34,37
blazer,Manga longa,no,33,43
vestido jeans colado curto,Manga 3/4,yes,38,43
calça jeans skinny,unknown,no,21,45
jaqueta,Manga longa,no,18,34
cropped,Manga curta,no,13,20
blusa,Manga longa,no,39,39
saia,unknown,no,15,30
vestido jeans solto longo,Manga 3/4,no,37,48
blazer,Manga longa,yes,16,40
vestido solto longo,Manga longa,yes,28,48
t-shirt,unknown,yes,32,36
calça jeans skinny,unknown,yes,20,50
cropped,Manga longa,no,11,20
short jeans,unknown,no,18,30
calça jeans aladin,unknown,no,35,50
calça jeans,unknown,no,15,45
calça skinny,unknown,yes,40,47
macacao longo,Manga curta,yes,27,43
short jeans,unknown,no,36,41
vestido colado medio,Manga curta,yes,39,45
blazer,Manga longa,no,21,36
vestido colado medio,Manga curta,yes,32,40
short,unknown,yes,28,34
jaqueta,Manga longa,yes,37,50
vestido jeans colado curto,Manga 3/4,no,23,28
macacao longo,regata,no,27,40
calça jeans,unknown,no,20,45
saia,unknown,yes,25,36
macacao longo,Manga 3/4,no,38,48
vestido jeans colado medio,Manga 3/4,no,37,38
cardigan,Manga longa,yes,33,44
calça wide leg,unknown,yes,28,38
vestido jeans solto medio,Uma manga só,no,25,30
vestido colado longo,Manga longa,yes,35,50
calça aladin,unknown,no,31,35
sueter,Manga longa,yes,19,37
macacao longo,Manga longa,no,29,40
macaquinho,Manga 3/4,no,25,35
saia jeans,unknown,no,23,33
macacao longo,regata,no,38,48
short,unknown,yes,36,42
calça jeans aladin,unknown,yes,38,50
vestido solto longo,Manga curta,no,16,30
saia jeans,unknown,yes,37,45
vestido jeans solto medio,Manga curta,yes,25,35
vestido colado curto,regata,no,20,25
short,unknown,no,23,32
blazer,Manga longa,no,19,35
vestido jeans solto curto,Manga curta,no,31,36
cardigan,Manga longa,no,24,35
jaqueta,Manga longa,no,32,42
short,unknown,no,19,30
calça skinny,unknown,no,18,30
vestido colado curto,Manga curta,no,29,34
short jeans,unknown,no,25,34
sueter,Manga longa,yes,23,39
vestido jeans colado medio,Manga 3/4,no,15,20
calça jeans mom,unknown,no,44,50
calça,unknown,no,28,35
saia jeans,unknown,no,37,43
vestido jeans colado curto,Uma manga só,yes,30,40
saia,unknown,yes,20,33
blusa,Manga curta,no,11,20
short,unknown,no,23,31
vestido solto curto,Manga longa,no,32,36
vestido solto medio,Manga 3/4,no,37,39
short,unknown,no,16,29
calça mom,unknown,no,36,39
vestido jeans solto longo,Manga 3/4,yes,27,46
blusa,Manga longa,yes,19,28
t-shirt,unknown,no,10,20
saia,unknown,no,16,30
vestido jeans solto curto,Manga 3/4,no,33,36
vestido jeans colado curto,Manga 3/4,no,20,24
jaqueta,Manga longa,yes,38,50
vestido colado longo,Uma manga só,no,16,31
calça jeans skinny,unknown,yes,29,50
saia,unknown,no,36,38
vestido jeans solto medio,Manga longa,no,25,30
vestido colado longo,Manga longa,no,36,48
calça jeans wide leg,unknown,no,35,51
vestido solto medio,Manga curta,no,24,29
blusa,Manga 3/4,yes,25,32
short jeans,unknown,no,25,35
calça jeans wide leg,unknown,yes,38,51
blazer,Manga longa,no,16,35
calça jeans,unknown,yes,28,50
jaqueta,Manga longa,no,26,40
cropped,Manga 3/4,no,28,30
blazer,Manga longa,no,24,38
short,unknown,no,30,32
cardigan,Manga longa,yes,36,46
saia jeans,unknown,no,25,35
vestido jeans colado medio,regata,yes,32,41
macacao longo,Manga 3/4,no,17,35
macaquinho,Manga curta,yes,49,49
vestido solto longo,Manga 3/4,no,28,43
saia jeans,unknown,no,40,45
calça wide leg,unknown,yes,35,43
vestido jeans solto curto,Manga curta,no,19,24
calça jeans mom,unknown,yes,39,50
saia jeans,unknown,no,17,30
calça jeans mom,unknown,no,39,50
short jeans,unknown,no,30,39
cropped,Manga longa,no,47,48
leggings,unknown,no,21,31
vestido colado curto,Manga longa,yes,27,36
vestido solto longo,Manga longa,yes,24,44
short,unknown,no,33,34
vestido solto medio,Manga longa,no,36,38
calça mom,unknown,no,31,36
blusa,Manga longa,yes,36,36
calça jeans skinny,unknown,no,27,46
short,unknown,no,37,39
vestido solto longo,Manga longa,no,23,38
cropped,Uma manga só,yes,11,22
blazer,Manga longa,no,40,49
blusa,Uma manga só,yes,31,36
t-shirt,unknown,no,33,34
vestido jeans solto medio,Uma manga só,no,44,45
vestido jeans colado curto,Manga 3/4,yes,39,44
vestido jeans solto longo,Manga 3/4,no,37,48
calça jeans wide leg,unknown,no,25,46
vestido solto longo,Manga curta,no,19,34
short,unknown,no,35,37
calça mom,unknown,no,16,30
short,unknown,yes,28,36
vestido solto longo,Uma manga só,no,18,33
vestido solto medio,Manga longa,yes,23,33
macaquinho,Manga curta,no,21,34
cardigan,Manga longa,no,18,33
leggings,unknown,no,30,35
macaquinho,Manga longa,yes,35,43
calça jeans aladin,unknown,yes,25,48
calça,unknown,no,15,30
calça jeans skinny,unknown,yes,45,51
calça,unknown,no,33,36
calça jeans wide leg,unknown,yes,36,50
saia,unknown,no,28,32
calça skinny,unknown,no,37,40
blusa,regata,no,28,29
blazer,Manga longa,yes,29,44
jaqueta,Manga longa,yes,22,41
vestido solto longo,Manga 3/4,yes,30,49
calça,unknown,yes,37,43
saia jeans,unknown,no,15,30
calça jeans,unknown,no,38,50
leggings,unknown,no,39,41
short jeans,unknown,no,25,35
short jeans,unknown,no,18,30
short,unknown,yes,49,49
calça jeans mom,unknown,no,17,45
calça jeans aladin,unknown,yes,24,50
saia,unknown,yes,43,44
calça,unknown,no,36,38
vestido jeans solto medio,Manga curta,no,15,21
macaquinho,Uma manga só,no,38,41
vestido solto curto,Manga curta,no,30,35
saia jeans,unknown,no,37,42
saia,unknown,no,21,30
vestido jeans solto curto,regata,yes,30,38
vestido jeans colado curto,Uma manga só,yes,17,26
blusa,Uma manga só,no,21,26
t-shirt,unknown,no,15,20
vestido solto medio,regata,yes,39,45
vestido jeans colado medio,Manga curta,no,24,29
calça skinny,unknown,yes,31,40
vestido solto curto,Manga longa,no,36,38
vestido jeans colado curto,Manga 3/4,no,38,40
vestido jeans solto longo,Uma manga só,no,38,49
calça mom,unknown,no,19,30
sueter,Manga longa,yes,16,34
macacao longo,Manga 3/4,no,34,44
vestido jeans colado medio,Manga 3/4,yes,34,40
calça mom,unknown,yes,19,34
cropped,Manga longa,no,13,20
sueter,Manga longa,no,30,40
cropped,Uma manga só,yes,31,37
saia jeans,unknown,yes,28,42
vestido jeans solto curto,Manga curta,no,17,22
saia jeans,unknown,no,26,36
cardigan,Manga longa,no,37,40
calça jeans mom,unknown,yes,17,49
vestido jeans colado medio,regata,no,20,25
t-shirt,unknown,no,16,21
vestido jeans colado curto,Manga 3/4,no,21,25
calça,unknown,no,29,35
t-shirt,unknown,no,21,25
t-shirt,unknown,yes,13,24
jaqueta,Manga longa,yes,24,42
t-shirt,unknown,no,14,21
short jeans,unknown,no,28,38
macacao longo,regata,yes,19,39
saia,unknown,no,27,32
calça,unknown,yes,26,40
cardigan,Manga longa,yes,36,44
calça mom,unknown,no,36,39
cardigan,Manga longa,no,29,39
calça jeans,unknown,no,25,45
calça jeans skinny,unknown,yes,34,50
cardigan,Manga longa,no,34,41
calça jeans wide leg,unknown,no,28,48
saia,unknown,no,39,41
vestido colado longo,Manga 3/4,no,35,47
macaquinho,Manga longa,yes,26,39
calça jeans,unknown,yes,41,50
vestido solto curto,Manga curta,no,31,36
vestido jeans solto curto,Uma manga só,no,28,33
calça jeans aladin,unknown,no,42,50
macaquinho,Manga curta,no,16,31
calça jeans,unknown,no,27,47
t-shirt,unknown,yes,31,35
cropped,Manga curta,yes,35,39
short jeans,unknown,no,27,37
vestido colado longo,Manga curta,no,46,46
saia jeans,unknown,yes,24,39
short jeans,unknown,no,21,32
vestido jeans colado curto,Manga longa,yes,35,41
calça mom,unknown,no,38,40
vestido colado longo,Manga 3/4,no,31,46
jaqueta,Manga longa,no,33,43
calça wide leg,unknown,yes,33,41
macaquinho,Manga 3/4,no,47,48
blusa,Manga longa,yes,24,30
t-shirt,unknown,no,24,27
vestido solto medio,Uma manga só,no,35,37
vestido jeans colado medio,Uma manga só,no,29,34
macacao longo,regata,no,29,40
vestido jeans solto curto,Manga longa,no,20,25
cardigan,Manga longa,yes,21,38
jaqueta,Manga longa,no,18,36
vestido solto longo,Manga 3/4,no,22,37
vestido colado longo,Manga 3/4,yes,40,50
cardigan,Manga longa,no,33,40
macaquinho,Manga 3/4,no,30,40
vestido jeans colado curto,Manga curta,no,35,37
t-shirt,unknown,no,24,27
calça mom,unknown,yes,15,33
vestido colado longo,regata,no,29,44
vestido jeans colado medio,Uma manga só,no,49,50
short jeans,unknown,no,30,40
cropped,Manga curta,yes,14,25
saia,unknown,no,26,33
cardigan,Manga longa,no,16,31
calça jeans aladin,unknown,no,15,45
calça jeans mom,unknown,no,42,50
vestido jeans colado curto,Manga curta,no,18,23
calça skinny,unknown,yes,31,40
vestido jeans colado curto,Uma manga só,yes,17,25
sueter,Manga longa,no,31,40
calça aladin,unknown,no,15,30
vestido jeans colado curto,regata,no,21,26
calça,unknown,no,19,30
saia jeans,unknown,no,31,41
vestido jeans solto medio,regata,no,21,26
calça wide leg,unknown,yes,32,41
calça jeans wide leg,unknown,no,45,49
short jeans,unknown,no,30,40
vestido jeans solto longo,Manga curta,no,27,42
calça wide leg,unknown,yes,30,37
short jeans,unknown,yes,17,34
calça jeans mom,unknown,yes,23,50
vestido colado longo,Manga longa,no,25,39
short,unknown,no,26,32
blazer,Manga longa,no,30,40
vestido solto longo,regata,yes,15,33
saia,unknown,yes,34,39
saia jeans,unknown,no,25,35
calça jeans,unknown,no,34,50
vestido colado longo,Manga 3/4,yes,34,50
vestido jeans colado medio,regata,no,22,27
calça skinny,unknown,no,26,35
vestido jeans colado curto,Manga curta,no,28,33
calça aladin,unknown,no,32,36
blusa,regata,yes,14,23
macaquinho,Manga longa,no,27,36
calça skinny,unknown,no,19,30
short,unknown,no,17,30
cardigan,Manga longa,no,29,39
calça jeans wide leg,unknown,yes,35,50
cropped,Manga longa,no,11,20
calça mom,unknown,no,16,30
saia,unknown,no,39,41
jaqueta,Manga longa,no,39,49
saia,unknown,no,27,32
macaquinho,Uma manga só,yes,28,42
vestido jeans solto medio,Manga curta,no,36,38
cardigan,Manga longa,no,15,30
calça aladin,unknown,no,27,35
vestido solto longo,Manga 3/4,no,24,39
macacao longo,regata,no,21,36
vestido colado longo,Manga curta,no,38,48
cardigan,Manga longa,yes,29,42
vestido jeans solto curto,Manga curta,no,29,34
saia jeans,unknown,yes,37,45
saia jeans,unknown,yes,50,50
blusa,regata,no,22,26
vestido jeans solto medio,Manga curta,yes,29,39
saia jeans,unknown,yes,27,42
vestido solto longo,regata,no,39,49
vestido jeans colado medio,Uma manga só,no,17,22
vestido solto medio,Manga 3/4,no,17,22
short,unknown,no,31,33
vestido jeans colado medio,regata,no,36,38
vestido colado medio,Uma manga só,no,17,22
vestido jeans solto curto,regata,no,37,39
vestido jeans colado curto,Manga curta,no,33,36
short,unknown,yes,31,37
cropped,Manga 3/4,no,16,21
vestido jeans solto curto,Manga longa,no,33,36
vestido jeans colado curto,Manga 3/4,no,32,36
jaqueta,Manga longa,yes,26,44
calça jeans mom,unknown,yes,37,50
calça jeans,unknown,yes,37,50
vestido jeans solto curto,Manga curta,no,20,25
saia jeans,unknown,yes,16,34
saia,unknown,no,25,32
vestido solto longo,Manga curta,no,32,46
t-shirt,unknown,no,16,21
macacao longo,Manga longa,no,34,44
vestido solto curto,regata,yes,20,30
vestido jeans colado medio,Manga 3/4,no,39,41
cardigan,Manga longa,no,16,31
cardigan,Manga longa,no,21,35
calça mom,unknown,no,42,42
saia,unknown,yes,35,42
saia jeans,unknown,yes,20,35
macaquinho,Manga 3/4,yes,21,40
leggings,unknown,no,36,39
vestido jeans solto curto,regata,no,27,32
saia,unknown,no,25,32
calça,unknown,yes,23,37
short,unknown,no,21,30
calça aladin,unknown,no,38,41
calça jeans wide leg,unknown,no,40,50
vestido jeans colado curto,Manga longa,yes,37,42
jaqueta,Manga longa,no,30,40
blusa,regata,yes,32,37
calça jeans wide leg,unknown,yes,40,50
vestido solto curto,Uma manga só,yes,16,24
calça jeans wide leg,unknown,yes,35,50
macaquinho,Manga curta,no,16,31
cropped,Manga curta,no,29,30
vestido jeans solto longo,Manga longa,no,39,50
vestido jeans colado medio,Manga curta,no,38,39
vestido jeans colado medio,regata,no,31,36
vestido colado medio,regata,no,28,33
vestido solto longo,Manga longa,yes,39,50
cropped,Manga 3/4,no,25,27
calça,unknown,no,37,40
saia,unknown,no,23,31
vestido solto longo,Manga 3/4,yes,37,50
cardigan,Manga longa,yes,34,43
jaqueta,Manga longa,no,17,36
vestido solto longo,Uma manga só,yes,46,46
short jeans,unknown,no,38,43
vestido jeans colado curto,Manga 3/4,no,27,32
calça jeans wide leg,unknown,yes,46,46
saia,unknown,yes,28,35
macaquinho,Uma manga só,no,16,31
blusa,Manga curta,yes,35,38
cropped,Manga 3/4,no,33,34
leggings,unknown,yes,23,38
calça jeans,unknown,yes,27,50
calça jeans wide leg,unknown,no,17,45
calça jeans wide leg,unknown,yes,29,50
cardigan,Manga longa,no,26,36
vestido jeans colado curto,regata,no,34,37
vestido colado longo,regata,no,31,45
vestido jeans colado curto,Manga longa,no,32,36
saia,unknown,yes,26,37
t-shirt,unknown,yes,17,24
cropped,Manga 3/4,no,24,27
saia,unknown,no,27,32
vestido solto longo,regata,no,22,37
vestido jeans solto medio,Uma manga só,no,31,36
cropped,Uma manga só,no,22,25
short,unknown,no,28,32
macaquinho,regata,no,17,32
vestido colado longo,Uma manga só,no,30,45
jaqueta,Manga longa,yes,43,45
saia,unknown,no,23,31
calça jeans wide leg,unknown,yes,18,48
cardigan,Manga longa,no,34,41
vestido solto curto,Uma manga só,no,29,34
saia,unknown,no,25,32
calça jeans wide leg,unknown,no,40,49
t-shirt,unknown,no,25,27
vestido jeans colado curto,Manga longa,no,31,35
short jeans,unknown,yes,38,46
vestido jeans solto longo,regata,no,33,47
short jeans,unknown,no,19,29
calça wide leg,unknown,no,32,36
vestido jeans solto longo,Uma manga só,no,25,39
vestido jeans solto curto,regata,yes,30,39
sueter,Manga longa,no,17,32
short jeans,unknown,yes,35,44
short jeans,unknown,no,15,31
vestido colado longo,regata,no,24,39
calça jeans,unknown,no,27,47
macacao longo,regata,no,30,40
short jeans,unknown,no,26,36
saia jeans,unknown,no,16,30
saia,unknown,yes,35,43
blazer,Manga longa,no,31,40
blazer,Manga longa,no,24,39
vestido jeans solto medio,regata,no,37,38
macacao longo,Manga longa,no,16,36
vestido jeans solto curto,Manga longa,no,36,37
calça jeans,unknown,yes,36,50
calça jeans skinny,unknown,yes,21,50
calça mom,unknown,yes,35,43
calça jeans,unknown,yes,43,50
blusa,Manga longa,no,16,20
saia jeans,unknown,no,37,42
macacao longo,Manga 3/4,no,29,41
calça jeans skinny,unknown,no,24,45
vestido jeans colado curto,Uma manga só,no,29,34
vestido jeans colado curto,regata,yes,30,39
vestido colado curto,regata,yes,22,32
vestido jeans colado curto,Manga curta,yes,32,39
short jeans,unknown,no,17,30
vestido colado longo,Uma manga só,no,35,47
vestido solto longo,Manga 3/4,no,30,45
cardigan,Manga longa,yes,40,47
short jeans,unknown,no,33,40
short jeans,unknown,no,16,30
cropped,Manga longa,no,30,30
short,unknown,no,29,32
cropped,regata,no,18,23
vestido jeans solto longo,Manga 3/4,yes,20,40
jaqueta,Manga longa,yes,22,42
short,unknown,no,39,41
calça aladin,unknown,no,29,35
blusa,Manga 3/4,no,24,27
vestido jeans solto medio,Manga curta,yes,35,40
short,unknown,no,24,32
short jeans,unknown,no,21,30
short,unknown,no,37,39
short,unknown,yes,39,46
saia,unknown,no,30,32
vestido solto curto,regata,no,23,29
sueter,Manga longa,no,24,35
cropped,Uma manga só,no,32,33
saia jeans,unknown,no,33,40
cropped,regata,no,35,36
short jeans,unknown,no,28,38
vestido jeans solto medio,Uma manga só,no,23,28
short jeans,unknown,no,29,39
vestido jeans colado medio,Uma manga só,no,17,22
short jeans,unknown,no,21,30
blazer,Manga longa,no,21,36
blusa,Uma manga só,no,32,33
calça jeans mom,unknown,no,28,48
blusa,regata,no,10,20
macacao longo,Manga longa,yes,32,45
short jeans,unknown,yes,22,36
calça aladin,unknown,yes,28,37
macaquinho,regata,no,27,37
calça jeans skinny,unknown,no,26,46
vestido jeans colado medio,Manga curta,no,23,27
jaqueta,Manga longa,no,28,40
sueter,Manga longa,yes,33,45
macacao longo,Manga 3/4,no,33,43
calça jeans mom,unknown,no,39,50
vestido jeans colado medio,Manga curta,yes,18,26
vestido jeans colado medio,Manga curta,no,24,29
blusa,Manga 3/4,yes,18,26
calça jeans skinny,unknown,no,20,45
short,unknown,yes,32,38
short jeans,unknown,no,35,40
calça jeans skinny,unknown,no,44,50
calça jeans mom,unknown,no,23,45
cropped,Uma manga só,no,25,26
macaquinho,Manga 3/4,yes,25,38
calça mom,unknown,no,34,38
calça aladin,unknown,yes,29,39
vestido colado longo,Manga longa,no,15,30
vestido colado medio,Manga 3/4,no,40,41
vestido jeans colado curto,Manga longa,yes,31,39
short,unknown,yes,38,45
vestido jeans solto longo,Manga 3/4,no,23,38
calça aladin,unknown,no,30,35
vestido jeans solto longo,Manga 3/4,no,16,31
calça,unknown,no,17,30
leggings,unknown,yes,31,39
macaquinho,Manga longa,no,36,40
calça jeans wide leg,unknown,no,22,45
blazer,Manga longa,no,35,45
saia jeans,unknown,no,22,32
vestido solto curto,Manga longa,yes,17,26
t-shirt,unknown,no,33,34
calça jeans mom,unknown,yes,27,50
vestido solto medio,Manga curta,yes,30,39
saia,unknown,yes,32,39
macaquinho,Uma manga só,no,33,40
calça,unknown,yes,27,40
blusa,Manga longa,yes,14,25
calça,unknown,yes,33,39
saia,unknown,no,38,40
vestido jeans colado curto,Manga 3/4,no,47,48
vestido jeans solto medio,Manga curta,yes,20,30
calça wide leg,unknown,no,26,35
calça jeans,unknown,yes,42,50
calça jeans aladin,unknown,no,39,50
t-shirt,unknown,no,17,22
jaqueta,Manga longa,no,30,39
vestido colado longo,Manga curta,no,17,32
cardigan,Manga longa,no,38,41
vestido jeans solto medio,Manga longa,no,30,35
vestido jeans colado curto,regata,yes,33,42
saia jeans,unknown,yes,21,35
short jeans,unknown,yes,23,37
vestido jeans solto curto,regata,no,19,24
vestido jeans colado medio,regata,no,29,34
vestido colado medio,Manga 3/4,yes,39,45
vestido jeans solto medio,regata,no,39,41
short jeans,unknown,no,38,42
calça jeans mom,unknown,yes,23,48
sueter,Manga longa,no,38,41
calça jeans skinny,unknown,yes,31,50
vestido colado longo,Manga 3/4,yes,38,50
calça jeans wide leg,unknown,no,32,50
vestido jeans colado medio,regata,no,34,36
saia jeans,unknown,yes,22,37
calça jeans skinny,unknown,yes,28,50
macaquinho,Uma manga só,yes,36,43
vestido solto curto,Manga 3/4,no,22,27
vestido jeans solto longo,regata,no,17,32
vestido jeans solto medio,Manga longa,no,48,49
vestido solto longo,Manga 3/4,yes,33,50
calça jeans wide leg,unknown,yes,24,50
blusa,Manga longa,no,13,20
vestido jeans colado medio,Manga 3/4,no,25,30
t-shirt,unknown,no,23,26
jaqueta,Manga longa,no,22,37
calça jeans mom,unknown,no,17,45
jaqueta,Manga longa,no,21,37
macacao longo,Manga 3/4,no,19,34
vestido jeans colado medio,regata,yes,42,43
calça jeans wide leg,unknown,no,39,50
leggings,unknown,no,35,37
sueter,Manga longa,no,16,31
blazer,Manga longa,no,15,35
vestido jeans solto longo,Manga 3/4,no,35,47
vestido jeans colado curto,Uma manga só,no,27,32
blazer,Manga longa,yes,18,39
macaquinho,Manga 3/4,yes,33,44
vestido solto longo,Manga curta,yes,33,50
vestido jeans solto longo,Manga longa,yes,30,49
short,unknown,no,44,45
calça wide leg,unknown,no,15,30
calça skinny,unknown,no,36,39
blusa,regata,no,14,20
calça wide leg,unknown,no,39,41
calça jeans skinny,unknown,yes,43,50
blazer,Manga longa,no,22,37
leggings,unknown,no,18,30
cropped,Manga longa,no,16,21
cardigan,Manga longa,no,28,38
t-shirt,unknown,no,16,21
vestido colado curto,Manga 3/4,no,37,38
cropped,regata,no,49,50
short jeans,unknown,no,33,40
saia,unknown,yes,39,46
vestido colado medio,Manga longa,no,21,25
calça mom,unknown,no,22,32
saia jeans,unknown,no,23,33
calça jeans aladin,unknown,yes,28,50
cropped,Manga longa,yes,18,28
calça wide leg,unknown,no,27,35
macaquinho,Manga longa,no,28,38
calça jeans aladin,unknown,yes,21,49
leggings,unknown,no,19,31
calça jeans skinny,unknown,yes,40,50
saia jeans,unknown,no,35,40
leggings,unknown,no,31,36
saia,unknown,no,25,32
vestido jeans colado medio,Manga 3/4,no,16,21
blazer,Manga longa,yes,26,43
saia,unknown,no,22,31
short jeans,unknown,no,27,37
t-shirt,unknown,no,24,27
blazer,Manga longa,no,31,41
macaquinho,Manga 3/4,yes,33,43
